invoice_acct_id,date,account,description,amount,type,department,vendor,payment_method
ACT-10000,2023-01-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10001,2023-01-15,Payroll,Employee Wages,49986.73,Debit,Admin,ADP Services,ACH
ACT-10002,2023-01-28,Payroll,Employee Wages,51772.03,Debit,Admin,ADP Services,ACH
ACT-10003,2023-02-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10004,2023-02-15,Payroll,Employee Wages,47480.45,Debit,Admin,ADP Services,ACH
ACT-10005,2023-02-28,Payroll,Employee Wages,48910.27,Debit,Admin,ADP Services,ACH
ACT-10006,2023-03-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10007,2023-03-15,Payroll,Employee Wages,51486.37,Debit,Admin,ADP Services,ACH
ACT-10008,2023-03-28,Payroll,Employee Wages,45357.36,Debit,Admin,ADP Services,ACH
ACT-10009,2023-04-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10010,2023-04-15,Payroll,Employee Wages,48335.87,Debit,Admin,ADP Services,ACH
ACT-10011,2023-04-28,Payroll,Employee Wages,46687.8,Debit,Admin,ADP Services,ACH
ACT-10012,2023-05-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10013,2023-05-15,Payroll,Employee Wages,49212.36,Debit,Admin,ADP Services,ACH
ACT-10014,2023-05-28,Payroll,Employee Wages,49442.98,Debit,Admin,ADP Services,ACH
ACT-10015,2023-06-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10016,2023-06-15,Payroll,Employee Wages,51715.48,Debit,Admin,ADP Services,ACH
ACT-10017,2023-06-28,Payroll,Employee Wages,49489.79,Debit,Admin,ADP Services,ACH
ACT-10018,2023-07-01,Rent Expense,Monthly Store Lease,12000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10019,2023-07-15,Payroll,Employee Wages,49684.71,Debit,Admin,ADP Services,ACH
