product_id,product_name,category,unit_price
1001,Craftsman 20V MAX Cordless Drill Kit,Power Tools,99.00
1002,DeWalt 20V MAX Brushless Impact Driver,Power Tools,129.00
1003,Makita 18V LXT Lithium-Ion Cordless Drill,Power Tools,119.00
1004,Milwaukee M18 18V Cordless 1/2 in. Drill Driver,Power Tools,139.00
1005,Ryobi ONE+ 18V Cordless Drill/Driver,Power Tools,79.00
1006,Bosch 12V Max 3/8 in. Drill/Driver Kit,Power Tools,89.00
1007,DeWalt 15 Amp 7-1/4 in. Circular Saw,Power Tools,149.00
1008,Makita 15 Amp 7-1/4 in. Circular Saw,Power Tools,139.00
1009,Milwaukee M18 FUEL 7-1/4 in. Circular Saw,Power Tools,199.00
1010,Ryobi 15 Amp 7-1/4 in. Circular Saw,Power Tools,59.00
1011,Craftsman 10 in. 15 Amp Table Saw,Power Tools,249.00
1012,DeWalt 10 in. Jobsite Table Saw,Power Tools,379.00
1013,Bosch 10 in. Worksite Table Saw,Power Tools,449.00
1014,Makita 10 in. Dual-Bevel Sliding Compound Miter Saw,Power Tools,499.00
1015,DeWalt 12 in. Sliding Compound Miter Saw,Power Tools,599.00
1016,Ryobi 10 in. Sliding Compound Miter Saw,Power Tools,219.00
1017,Milwaukee 12 Amp Sawzall Reciprocating Saw,Power Tools,129.00
1018,DeWalt 20V MAX Cordless Reciprocating Saw,Power Tools,149.00
1019,Makita 18V LXT Reciprocating Saw,Power Tools,139.00
1020,Craftsman 20V MAX Reciprocating Saw,Power Tools,79.00
1021,Ryobi ONE+ 18V Orbital Jigsaw,Power Tools,69.00
1022,DeWalt 20V MAX XR Cordless Jigsaw,Power Tools,179.00
1023,Bosch 7 Amp Top-Handle Jigsaw,Power Tools,149.00
1024,Makita 4-1/2 in. Angle Grinder,Power Tools,79.00
1025,DeWalt 4-1/2 in. 11 Amp Angle Grinder,Power Tools,89.00
1026,Milwaukee 4-1/2 in. Small Angle Grinder,Power Tools,99.00
1027,Ryobi 5 in. Random Orbit Sander,Power Tools,49.00
1028,DeWalt 5 in. Random Orbit Sander,Power Tools,69.00
1029,Makita 5 in. Random Orbit Sander,Power Tools,79.00
1030,Craftsman 1/4 Sheet Orbital Sander,Power Tools,39.00
1031,Bosch 2.25 HP Electronic Fixed-Base Router,Power Tools,199.00
1032,DeWalt 1-1/4 HP Max Torque Compact Router,Power Tools,149.00
1033,Makita 1-1/4 HP Compact Router,Power Tools,129.00
1034,Ryobi ONE+ 18V 5.0 Ah Lithium-Ion Battery,Power Tools,89.00
1035,DeWalt 20V MAX 5.0Ah XR Battery,Power Tools,129.00
1036,Milwaukee M18 REDLITHIUM XC5.0 Battery,Power Tools,139.00
1037,Makita 18V LXT Lithium-Ion 5.0Ah Battery,Power Tools,119.00
1038,Craftsman V20 4.0Ah Lithium-Ion Battery,Power Tools,79.00
1039,DeWalt 20V MAX Battery Charger,Power Tools,49.00
1040,Milwaukee M18 and M12 Multi-Voltage Charger,Power Tools,59.00
1041,DeWalt 100-Piece Screwdriver Bit Set,Power Tools,34.99
1042,Makita 75-Piece Metric Drill and Screw Bit Set,Power Tools,29.99
1043,Milwaukee 40-Piece Shockwave Drill/Drive Set,Power Tools,24.99
1044,Ryobi 120-Piece Drill and Drive Kit,Power Tools,19.99
1045,Craftsman 50-Piece Drill Bit Set,Power Tools,14.99
1046,Diablo 7-1/4 in. 24-Teeth Framing Saw Blade,Power Tools,12.98
1047,DeWalt 10 in. 60-Tooth Fine Finish Saw Blade,Power Tools,39.98
1048,Makita 12 in. 80-Tooth Micro-Polished Saw Blade,Power Tools,54.98
1049,Lenox 14-Piece Bi-Metal Hole Saw Kit,Power Tools,69.00
1050,Milwaukee 9-Piece Hole Dozer Hole Saw Kit,Power Tools,59.00
1051,DeWalt 5-Piece Reciprocating Saw Blade Set,Power Tools,15.99
1052,Diablo 3-Piece Carbide Pruning Reciprocating Blades,Power Tools,22.99
1053,Dremel 4300 Series Rotary Tool Kit,Power Tools,119.00
1054,Ryobi 18V ONE+ Rotary Tool Station,Power Tools,79.00
1055,DeWalt 20V MAX Oscillating Multi-Tool,Power Tools,129.00
1056,Milwaukee M18 FUEL Oscillating Multi-Tool,Power Tools,149.00
1057,Makita 18V LXT Oscillating Multi-Tool,Power Tools,119.00
1058,Craftsman 3 Gallon Air Compressor,Power Tools,129.00
1059,DeWalt 6 Gallon Pancake Air Compressor,Power Tools,169.00
1060,Porter-Cable 6 Gallon Air Compressor Kit,Power Tools,199.00
1061,Scotts Turf Builder Weed & Feed 14 lb.,Garden & Outdoors,24.98
1062,Scotts Turf Builder Lawn Food 12.5 lb.,Garden & Outdoors,21.98
1063,Miracle-Gro All Purpose Plant Food 5 lb.,Garden & Outdoors,14.98
1064,Vigoro All-Purpose Fertilizer 16 lb.,Garden & Outdoors,18.98
1065,Milorganite Slow-Release Nitrogen Fertilizer 32 lb.,Garden & Outdoors,17.98
1066,Preen Garden Weed Preventer 16 lb.,Garden & Outdoors,29.98
1067,Earthgro Premium Black Mulch 2 cu. ft.,Garden & Outdoors,3.98
1068,Earthgro Premium Brown Mulch 2 cu. ft.,Garden & Outdoors,3.98
1069,Earthgro Premium Red Mulch 2 cu. ft.,Garden & Outdoors,3.98
1070,Vigoro Bagged Cedar Mulch 2 cu. ft.,Garden & Outdoors,4.98
1071,Kellogg Garden Organics Raised Bed Soil 2 cu. ft.,Garden & Outdoors,8.98
1072,Miracle-Gro Potting Mix 50 qt.,Garden & Outdoors,16.98
1073,Miracle-Gro Garden Soil All Purpose 1 cu. ft.,Garden & Outdoors,6.98
1074,Timberline Top Soil 40 lb.,Garden & Outdoors,2.48
1075,Quikrete 50 lb. Play Sand,Garden & Outdoors,5.98
1076,Roundup Ready-to-Use Weed & Grass Killer 1 gal.,Garden & Outdoors,22.98
1077,Spectracide Weed & Grass Killer 1 gal.,Garden & Outdoors,16.98
1078,Ortho Home Defense Insect Killer 1.1 gal.,Garden & Outdoors,18.98
1079,Ames 4-Tine Forged Steel Spading Fork,Garden & Outdoors,29.98
1080,Fiskars Long-Handle Digging Shovel,Garden & Outdoors,34.98
1081,Razor-Back Square Point Shovel,Garden & Outdoors,39.98
1082,Ames 22-Tine Steel Leaf Rake,Garden & Outdoors,19.98
1083,Fiskars 14-Tine Bow Rake,Garden & Outdoors,24.98
1084,True Temper Action Hoe,Garden & Outdoors,21.98
1085,Fiskars Steel Bypass Pruning Shears,Garden & Outdoors,14.98
1086,Corona Forged Bypass Lopper,Garden & Outdoors,34.98
1087,Fiskars 28 inch Bypass Lopper,Garden & Outdoors,29.98
1088,Flexzilla 5/8 in. x 50 ft. Heavy Duty Garden Hose,Garden & Outdoors,44.98
1089,Apex 5/8 in. x 100 ft. NeverKink Garden Hose,Garden & Outdoors,59.98
1090,Gilmour 5/8 in. x 50 ft. Flexogen Garden Hose,Garden & Outdoors,34.98
1091,Orbit Metal 7-Pattern Hose Nozzle,Garden & Outdoors,12.98
1092,Melnor Zinc Pistol Grip Water Nozzle,Garden & Outdoors,9.98
1093,Orbit Brass Impact Sprinkler on Tripod,Garden & Outdoors,39.98
1094,Melnor Oscillating Sprinkler with Timer,Garden & Outdoors,24.98
1095,Honda 21 in. Self-Propelled Gas Lawn Mower,Garden & Outdoors,499.00
1096,Toro Recycler 22 in. Gas Walk Behind Mower,Garden & Outdoors,349.00
1097,EGO Power+ 21 in. 56V Cordless Lawn Mower,Garden & Outdoors,499.00
1098,Ryobi 20 in. 40V Brushless Cordless Mower,Garden & Outdoors,299.00
1099,Echo 21.2cc Gas 2-Stroke String Trimmer,Garden & Outdoors,199.00
1100,Stihl FS 38 Gas String Trimmer,Garden & Outdoors,149.00
