invoice_acct_id,date,account,description,amount,type,department,vendor,payment_method
ACT-10000,2023-01-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10001,2023-01-15,Payroll,Employee Wages,12496.68,Debit,Admin,ADP Services,ACH
ACT-10002,2023-01-28,Payroll,Employee Wages,12943.01,Debit,Admin,ADP Services,ACH
ACT-10003,2023-02-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10004,2023-02-15,Payroll,Employee Wages,11870.11,Debit,Admin,ADP Services,ACH
ACT-10005,2023-02-28,Payroll,Employee Wages,12227.57,Debit,Admin,ADP Services,ACH
ACT-10006,2023-03-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10007,2023-03-15,Payroll,Employee Wages,12871.59,Debit,Admin,ADP Services,ACH
ACT-10008,2023-03-28,Payroll,Employee Wages,11339.34,Debit,Admin,ADP Services,ACH
ACT-10009,2023-04-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10010,2023-04-15,Payroll,Employee Wages,12083.97,Debit,Admin,ADP Services,ACH
ACT-10011,2023-04-28,Payroll,Employee Wages,11671.95,Debit,Admin,ADP Services,ACH
ACT-10012,2023-05-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10013,2023-05-15,Payroll,Employee Wages,12303.09,Debit,Admin,ADP Services,ACH
ACT-10014,2023-05-28,Payroll,Employee Wages,12360.74,Debit,Admin,ADP Services,ACH
ACT-10015,2023-06-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10016,2023-06-15,Payroll,Employee Wages,12928.87,Debit,Admin,ADP Services,ACH
ACT-10017,2023-06-28,Payroll,Employee Wages,12372.45,Debit,Admin,ADP Services,ACH
ACT-10018,2023-07-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10019,2023-07-15,Payroll,Employee Wages,12421.18,Debit,Admin,ADP Services,ACH
ACT-10020,2023-07-28,Payroll,Employee Wages,11505.26,Debit,Admin,ADP Services,ACH
ACT-10021,2023-08-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10022,2023-08-15,Payroll,Employee Wages,12448.6,Debit,Admin,ADP Services,ACH
ACT-10023,2023-08-28,Payroll,Employee Wages,12911.02,Debit,Admin,ADP Services,ACH
ACT-10024,2023-09-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10025,2023-09-15,Payroll,Employee Wages,12496.45,Debit,Admin,ADP Services,ACH
ACT-10026,2023-09-28,Payroll,Employee Wages,12739.76,Debit,Admin,ADP Services,ACH
ACT-10027,2023-10-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10028,2023-10-15,Payroll,Employee Wages,11390.16,Debit,Admin,ADP Services,ACH
ACT-10029,2023-10-28,Payroll,Employee Wages,11570.31,Debit,Admin,ADP Services,ACH
ACT-10030,2023-11-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10031,2023-11-15,Payroll,Employee Wages,11505.62,Debit,Admin,ADP Services,ACH
ACT-10032,2023-11-28,Payroll,Employee Wages,11513.14,Debit,Admin,ADP Services,ACH
ACT-10033,2023-12-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10034,2023-12-15,Payroll,Employee Wages,11622.03,Debit,Admin,ADP Services,ACH
ACT-10035,2023-12-28,Payroll,Employee Wages,11565.08,Debit,Admin,ADP Services,ACH
ACT-10036,2024-01-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10037,2024-01-15,Payroll,Employee Wages,12970.8,Debit,Admin,ADP Services,ACH
ACT-10038,2024-01-28,Payroll,Employee Wages,11493.56,Debit,Admin,ADP Services,ACH
ACT-10039,2024-02-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10040,2024-02-15,Payroll,Employee Wages,12940.56,Debit,Admin,ADP Services,ACH
ACT-10041,2024-02-28,Payroll,Employee Wages,12348.31,Debit,Admin,ADP Services,ACH
ACT-10042,2024-03-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10043,2024-03-15,Payroll,Employee Wages,12977.55,Debit,Admin,ADP Services,ACH
ACT-10044,2024-03-28,Payroll,Employee Wages,11832.83,Debit,Admin,ADP Services,ACH
ACT-10045,2024-04-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10046,2024-04-15,Payroll,Employee Wages,12155.26,Debit,Admin,ADP Services,ACH
ACT-10047,2024-04-28,Payroll,Employee Wages,11721.25,Debit,Admin,ADP Services,ACH
ACT-10048,2024-05-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10049,2024-05-15,Payroll,Employee Wages,12037.21,Debit,Admin,ADP Services,ACH
ACT-10050,2024-05-28,Payroll,Employee Wages,12747.34,Debit,Admin,ADP Services,ACH
ACT-10051,2024-06-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10052,2024-06-15,Payroll,Employee Wages,11383.24,Debit,Admin,ADP Services,ACH
ACT-10053,2024-06-28,Payroll,Employee Wages,11461.66,Debit,Admin,ADP Services,ACH
ACT-10054,2024-07-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10055,2024-07-15,Payroll,Employee Wages,12986.48,Debit,Admin,ADP Services,ACH
ACT-10056,2024-07-28,Payroll,Employee Wages,11962.16,Debit,Admin,ADP Services,ACH
ACT-10057,2024-08-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10058,2024-08-15,Payroll,Employee Wages,12723.4,Debit,Admin,ADP Services,ACH
ACT-10059,2024-08-28,Payroll,Employee Wages,12745.75,Debit,Admin,ADP Services,ACH
ACT-10060,2024-09-01,Rent Expense,Monthly Store Lease,3000.0,Debit,Operations,RealEstate Holdings,ACH
ACT-10061,2024-09-15,Payroll,Employee Wages,12071.32,Debit,Admin,ADP Services,ACH
