line_item_id,invoice_id,product_id,quantity,unit_price,discount,total_amount
LI-100000,INV-50000,PROD-6064,1,468.58,5.0,463.58
LI-100001,INV-50001,PROD-6208,2,238.72,5.0,472.45
LI-100002,INV-50002,PROD-6051,1,155.74,25.0,130.74
LI-100003,INV-50003,PROD-6172,1,438.18,0.0,438.18
LI-100004,INV-50003,PROD-6184,1,405.97,0.0,405.97
LI-100005,INV-50003,PROD-6103,1,323.58,10.0,313.58
LI-100006,INV-50004,PROD-6275,1,392.0,0.0,392.0
LI-100007,INV-50004,PROD-6060,1,377.1,10.0,367.1
LI-100008,INV-50005,PROD-6202,2,248.16,10.0,486.32
LI-100009,INV-50006,PROD-6156,2,138.56,5.0,272.12
LI-100010,INV-50007,PROD-6122,3,186.36,0.0,559.09
LI-100011,INV-50007,PROD-6102,2,373.74,5.0,742.48
LI-100012,INV-50008,PROD-6085,1,405.9,10.0,395.9
LI-100013,INV-50008,PROD-6248,3,427.0,0.0,1281.01
LI-100014,INV-50008,PROD-6188,1,414.55,10.0,404.55
LI-100015,INV-50008,PROD-6009,2,121.09,0.0,242.18
LI-100016,INV-50008,PROD-6080,1,351.09,5.0,346.09
LI-100017,INV-50009,PROD-6215,3,263.88,0.0,791.64
LI-100018,INV-50010,PROD-6178,1,69.71,0.0,69.71
LI-100019,INV-50010,PROD-6217,3,410.67,5.0,1227.01
LI-100020,INV-50011,PROD-6223,3,275.06,0.0,825.19
LI-100021,INV-50012,PROD-6062,2,407.53,0.0,815.06
LI-100022,INV-50012,PROD-6200,2,204.96,0.0,409.91
LI-100023,INV-50012,PROD-6025,10,58.09,10.0,570.85
LI-100024,INV-50013,PROD-6074,3,399.41,0.0,1198.22
LI-100025,INV-50013,PROD-6229,2,209.52,0.0,419.04
LI-100026,INV-50014,PROD-6053,2,111.3,0.0,222.59
LI-100027,INV-50014,PROD-6030,3,435.94,0.0,1307.82
LI-100028,INV-50014,PROD-6118,3,297.33,10.0,882.0
LI-100029,INV-50014,PROD-6183,2,390.09,0.0,780.17
