product_id,product_name,category,supplier_id,unit_cost,current_stock,reorder_level,reorder_quantity,warehouse_location,unit_price
PROD-6000,DeWalt 20V Max Cordless Drill,Power Tools,SUPP-01,115.0,7,36,72,We-WH1,159.99
PROD-6001,EGO Power+ 56V 7.5Ah Battery,Garden & Outdoor,SUPP-05,280.0,7,35,70,No-WH2,399.0
PROD-6002,T25 Star Drive Bit 2-Pack,Hardware,SUPP-08,3.0,1,58,116,So-WH1,7.5
PROD-6003,3/4in x 4ft x 8ft Oak Plywood,Lumber,SUPP-11,55.0,53,58,116,No-WH2,84.0
PROD-6004,Kohler Forte Kitchen Faucet,Plumbing,SUPP-15,145.0,6,29,58,So-WH2,219.0
PROD-6005,Ryobi ONE+ 18V Orbital Sander,Power Tools,SUPP-03,45.0,19,42,84,So-WH2,69.97
PROD-6006,Weber Genesis E-325 Gas Grill,Garden & Outdoor,SUPP-07,650.0,5,15,30,We-WH1,899.0
PROD-6007,Deck Screws #9 x 3in (5lb),Hardware,SUPP-08,18.0,22,56,112,No-WH2,28.99
PROD-6008,3/4in x 4ft x 8ft Oak Plywood,Lumber,SUPP-11,55.0,49,50,100,Mi-WH1,84.0
PROD-6009,Kohler Forte Kitchen Faucet,Plumbing,SUPP-15,145.0,18,48,96,No-WH1,219.0
PROD-6010,Milwaukee M18 Fuel Impact Driver,Power Tools,SUPP-02,130.0,140,44,88,We-WH1,189.0
PROD-6011,EGO 15in String Trimmer,Garden & Outdoor,SUPP-05,120.0,73,27,54,Mi-WH2,179.0
PROD-6012,Gorilla Wood Glue 8oz,Hardware,SUPP-10,4.0,156,33,66,We-WH2,8.99
PROD-6013,3/4in x 4ft x 8ft Oak Plywood,Lumber,SUPP-11,55.0,51,29,58,Mi-WH2,84.0
PROD-6014,Kohler Forte Kitchen Faucet,Plumbing,SUPP-15,145.0,71,42,84,Mi-WH2,219.0
PROD-6015,Ridgid 18V Brushless Recip Saw,Power Tools,SUPP-04,90.0,48,36,72,No-WH1,139.0
PROD-6016,Weber Grill Cover (Large),Garden & Outdoor,SUPP-07,35.0,115,15,30,We-WH1,59.99
PROD-6017,Stanley FatMax 25ft Tape Measure,Hardware,SUPP-09,14.0,118,51,102,We-WH1,24.97
PROD-6018,3/4in x 4ft x 8ft Oak Plywood,Lumber,SUPP-11,55.0,86,29,58,No-WH1,84.0
PROD-6019,Kohler Forte Kitchen Faucet,Plumbing,SUPP-15,145.0,98,39,78,No-WH2,219.0
PROD-6020,Makita 18V LXT Circular Saw,Power Tools,SUPP-03,110.0,106,26,52,Mi-WH1,169.0
PROD-6021,Scotts Turf Builder Sun/Shade 20lb,Garden & Outdoor,SUPP-06,22.0,148,28,56,So-WH1,34.99
PROD-6022,Drywall Screws #6 x 1-1/4in (1lb),Hardware,SUPP-08,4.5,94,42,84,Mi-WH2,8.99
PROD-6023,3/4in x 4ft x 8ft Oak Plywood,Lumber,SUPP-11,55.0,55,30,60,We-WH1,84.0
PROD-6024,Kohler Forte Kitchen Faucet,Plumbing,SUPP-15,145.0,81,57,114,So-WH2,219.0
PROD-6025,DeWalt 20V 5Ah Battery Pack,Power Tools,SUPP-01,89.0,108,15,30,So-WH2,129.0
PROD-6026,Tiki Brand Bamboo Torch,Garden & Outdoor,SUPP-07,6.0,83,29,58,No-WH1,12.5
PROD-6027,Heavy Duty Gate Latch Black,Hardware,SUPP-10,11.0,112,23,46,Mi-WH2,19.5
PROD-6028,3/4in x 4ft x 8ft Oak Plywood (Mod-028),Lumber,SUPP-11,55.0,121,43,86,So-WH1,84.0
PROD-6029,Kohler Forte Kitchen Faucet (Mod-029),Plumbing,SUPP-15,145.0,116,30,60,No-WH1,219.0
PROD-6030,Bosch 12V Max Flexiclick Tool,Power Tools,SUPP-04,140.0,54,46,92,So-WH2,199.0
PROD-6031,Scotts Standard Broadcast Spreader,Garden & Outdoor,SUPP-06,35.0,122,34,68,So-WH2,54.0
PROD-6032,Estwing 16oz Claw Hammer,Hardware,SUPP-09,22.0,99,58,116,We-WH1,36.5
PROD-6033,3/4in x 4ft x 8ft Oak Plywood (Mod-033),Lumber,SUPP-11,55.0,100,21,42,No-WH2,84.0
PROD-6034,Kohler Forte Kitchen Faucet (Mod-034),Plumbing,SUPP-15,145.0,100,52,104,No-WH1,219.0
PROD-6035,Milwaukee XC5.0 Battery Pack,Power Tools,SUPP-02,95.0,37,32,64,No-WH1,145.0
PROD-6036,EGO Power+ Select Cut Mower,Garden & Outdoor,SUPP-05,450.0,90,43,86,So-WH2,649.0
PROD-6037,T25 Star Drive Bit 2-Pack (Mod-037),Hardware,SUPP-08,3.0,53,32,64,Mi-WH2,7.5
PROD-6038,3/4in x 4ft x 8ft Oak Plywood (Mod-038),Lumber,SUPP-11,55.0,158,45,90,No-WH1,84.0
PROD-6039,Kohler Forte Kitchen Faucet (Mod-039),Plumbing,SUPP-15,145.0,210,56,112,So-WH2,219.0
PROD-6040,DeWalt 20V Max Cordless Drill (Mod-040),Power Tools,SUPP-01,115.0,145,36,72,Mi-WH1,159.99
PROD-6041,Miracle-Gro Potting Mix 2cu ft,Garden & Outdoor,SUPP-06,8.5,97,34,68,No-WH2,14.99
PROD-6042,Deck Screws #9 x 3in (5lb) (Mod-042),Hardware,SUPP-08,18.0,117,40,80,We-WH2,28.99
PROD-6043,3/4in x 4ft x 8ft Oak Plywood (Mod-043),Lumber,SUPP-11,55.0,72,18,36,Mi-WH2,84.0
PROD-6044,Kohler Forte Kitchen Faucet (Mod-044),Plumbing,SUPP-15,145.0,141,52,104,Mi-WH2,219.0
PROD-6045,Ryobi ONE+ 18V Orbital Sander (Mod-045),Power Tools,SUPP-03,45.0,151,37,74,We-WH2,69.97
PROD-6046,EGO Power+ 56V 7.5Ah Battery (Mod-046),Garden & Outdoor,SUPP-05,280.0,105,21,42,So-WH1,399.0
PROD-6047,Gorilla Wood Glue 8oz (Mod-047),Hardware,SUPP-10,4.0,158,38,76,So-WH2,8.99
PROD-6048,3/4in x 4ft x 8ft Oak Plywood (Mod-048),Lumber,SUPP-11,55.0,131,18,36,Mi-WH1,84.0
PROD-6049,Kohler Forte Kitchen Faucet (Mod-049),Plumbing,SUPP-15,145.0,117,51,102,We-WH1,219.0
PROD-6050,Milwaukee M18 Fuel Impact Driver (Mod-050),Power Tools,SUPP-02,130.0,176,38,76,So-WH2,189.0
PROD-6051,Weber Genesis E-325 Gas Grill (Mod-051),Garden & Outdoor,SUPP-07,650.0,184,56,112,We-WH2,899.0
PROD-6052,Stanley FatMax 25ft Tape Measure (Mod-052),Hardware,SUPP-09,14.0,88,20,40,So-WH1,24.97
PROD-6053,3/4in x 4ft x 8ft Oak Plywood (Mod-053),Lumber,SUPP-11,55.0,73,31,62,We-WH2,84.0
PROD-6054,Kohler Forte Kitchen Faucet (Mod-054),Plumbing,SUPP-15,145.0,129,26,52,So-WH1,219.0
PROD-6055,Ridgid 18V Brushless Recip Saw (Mod-055),Power Tools,SUPP-04,90.0,103,27,54,No-WH1,139.0
PROD-6056,EGO 15in String Trimmer (Mod-056),Garden & Outdoor,SUPP-05,120.0,28,21,42,So-WH2,179.0
PROD-6057,Drywall Screws #6 x 1-1/4in (1lb) (Mod-057),Hardware,SUPP-08,4.5,124,55,110,No-WH2,8.99
PROD-6058,3/4in x 4ft x 8ft Oak Plywood (Mod-058),Lumber,SUPP-11,55.0,74,58,116,No-WH2,84.0
PROD-6059,Kohler Forte Kitchen Faucet (Mod-059),Plumbing,SUPP-15,145.0,151,32,64,Mi-WH1,219.0
PROD-6060,Makita 18V LXT Circular Saw (Mod-060),Power Tools,SUPP-03,110.0,136,21,42,No-WH2,169.0
PROD-6061,Weber Grill Cover (Large) (Mod-061),Garden & Outdoor,SUPP-07,35.0,189,48,96,So-WH2,59.99
PROD-6062,Heavy Duty Gate Latch Black (Mod-062),Hardware,SUPP-10,11.0,69,28,56,No-WH1,19.5
PROD-6063,3/4in x 4ft x 8ft Oak Plywood (Mod-063),Lumber,SUPP-11,55.0,95,48,96,We-WH2,84.0
PROD-6064,Kohler Forte Kitchen Faucet (Mod-064),Plumbing,SUPP-15,145.0,78,20,40,Mi-WH1,219.0
PROD-6065,DeWalt 20V 5Ah Battery Pack (Mod-065),Power Tools,SUPP-01,89.0,156,28,56,We-WH2,129.0
PROD-6066,Scotts Turf Builder Sun/Shade 20lb (Mod-066),Garden & Outdoor,SUPP-06,22.0,72,42,84,Mi-WH2,34.99
PROD-6067,Estwing 16oz Claw Hammer (Mod-067),Hardware,SUPP-09,22.0,91,41,82,No-WH1,36.5
PROD-6068,3/4in x 4ft x 8ft Oak Plywood (Mod-068),Lumber,SUPP-11,55.0,78,30,60,So-WH1,84.0
PROD-6069,Kohler Forte Kitchen Faucet (Mod-069),Plumbing,SUPP-15,145.0,123,17,34,No-WH2,219.0
PROD-6070,Bosch 12V Max Flexiclick Tool (Mod-070),Power Tools,SUPP-04,140.0,212,57,114,No-WH2,199.0
PROD-6071,Tiki Brand Bamboo Torch (Mod-071),Garden & Outdoor,SUPP-07,6.0,92,28,56,We-WH1,12.5
PROD-6072,T25 Star Drive Bit 2-Pack (Mod-072),Hardware,SUPP-08,3.0,53,16,32,No-WH1,7.5
PROD-6073,3/4in x 4ft x 8ft Oak Plywood (Mod-073),Lumber,SUPP-11,55.0,77,46,92,Mi-WH1,84.0
PROD-6074,Kohler Forte Kitchen Faucet (Mod-074),Plumbing,SUPP-15,145.0,82,19,38,Mi-WH2,219.0
PROD-6075,Milwaukee XC5.0 Battery Pack (Mod-075),Power Tools,SUPP-02,95.0,79,52,104,No-WH1,145.0
PROD-6076,Scotts Standard Broadcast Spreader (Mod-076),Garden & Outdoor,SUPP-06,35.0,76,18,36,We-WH1,54.0
PROD-6077,Deck Screws #9 x 3in (5lb) (Mod-077),Hardware,SUPP-08,18.0,123,40,80,No-WH2,28.99
PROD-6078,3/4in x 4ft x 8ft Oak Plywood (Mod-078),Lumber,SUPP-11,55.0,137,25,50,No-WH2,84.0
PROD-6079,Kohler Forte Kitchen Faucet (Mod-079),Plumbing,SUPP-15,145.0,50,23,46,Mi-WH2,219.0
PROD-6080,DeWalt 20V Max Cordless Drill (Mod-080),Power Tools,SUPP-01,115.0,137,48,96,So-WH2,159.99
PROD-6081,EGO Power+ Select Cut Mower (Mod-081),Garden & Outdoor,SUPP-05,450.0,80,57,114,We-WH2,649.0
PROD-6082,Gorilla Wood Glue 8oz (Mod-082),Hardware,SUPP-10,4.0,36,17,34,Mi-WH1,8.99
PROD-6083,3/4in x 4ft x 8ft Oak Plywood (Mod-083),Lumber,SUPP-11,55.0,195,53,106,So-WH1,84.0
PROD-6084,Kohler Forte Kitchen Faucet (Mod-084),Plumbing,SUPP-15,145.0,112,30,60,No-WH1,219.0
PROD-6085,Ryobi ONE+ 18V Orbital Sander (Mod-085),Power Tools,SUPP-03,45.0,88,21,42,Mi-WH1,69.97
PROD-6086,Miracle-Gro Potting Mix 2cu ft (Mod-086),Garden & Outdoor,SUPP-06,8.5,79,23,46,Mi-WH2,14.99
PROD-6087,Stanley FatMax 25ft Tape Measure (Mod-087),Hardware,SUPP-09,14.0,156,49,98,No-WH2,24.97
PROD-6088,3/4in x 4ft x 8ft Oak Plywood (Mod-088),Lumber,SUPP-11,55.0,114,32,64,We-WH2,84.0
PROD-6089,Kohler Forte Kitchen Faucet (Mod-089),Plumbing,SUPP-15,145.0,141,51,102,So-WH1,219.0
PROD-6090,Milwaukee M18 Fuel Impact Driver (Mod-090),Power Tools,SUPP-02,130.0,77,19,38,No-WH1,189.0
PROD-6091,EGO Power+ 56V 7.5Ah Battery (Mod-091),Garden & Outdoor,SUPP-05,280.0,214,58,116,So-WH2,399.0
PROD-6092,Drywall Screws #6 x 1-1/4in (1lb) (Mod-092),Hardware,SUPP-08,4.5,97,24,48,We-WH1,8.99
PROD-6093,3/4in x 4ft x 8ft Oak Plywood (Mod-093),Lumber,SUPP-11,55.0,156,46,92,We-WH2,84.0
PROD-6094,Kohler Forte Kitchen Faucet (Mod-094),Plumbing,SUPP-15,145.0,117,21,42,We-WH1,219.0
PROD-6095,Ridgid 18V Brushless Recip Saw (Mod-095),Power Tools,SUPP-04,90.0,51,23,46,No-WH1,139.0
PROD-6096,Weber Genesis E-325 Gas Grill (Mod-096),Garden & Outdoor,SUPP-07,650.0,139,54,108,Mi-WH2,899.0
PROD-6097,Heavy Duty Gate Latch Black (Mod-097),Hardware,SUPP-10,11.0,114,31,62,So-WH2,19.5
PROD-6098,3/4in x 4ft x 8ft Oak Plywood (Mod-098),Lumber,SUPP-11,55.0,33,21,42,Mi-WH2,84.0
PROD-6099,Kohler Forte Kitchen Faucet (Mod-099),Plumbing,SUPP-15,145.0,125,47,94,No-WH2,219.0
PROD-6100,Makita 18V LXT Circular Saw (Mod-100),Power Tools,SUPP-03,110.0,111,27,54,No-WH1,169.0
PROD-6101,EGO 15in String Trimmer (Mod-101),Garden & Outdoor,SUPP-05,120.0,95,41,82,No-WH2,179.0
PROD-6102,Estwing 16oz Claw Hammer (Mod-102),Hardware,SUPP-09,22.0,73,29,58,Mi-WH1,36.5
PROD-6103,3/4in x 4ft x 8ft Oak Plywood (Mod-103),Lumber,SUPP-11,55.0,164,51,102,We-WH2,84.0
PROD-6104,Kohler Forte Kitchen Faucet (Mod-104),Plumbing,SUPP-15,145.0,190,59,118,Mi-WH1,219.0
PROD-6105,DeWalt 20V 5Ah Battery Pack (Mod-105),Power Tools,SUPP-01,89.0,105,32,64,No-WH2,129.0
PROD-6106,Weber Grill Cover (Large) (Mod-106),Garden & Outdoor,SUPP-07,35.0,47,35,70,Mi-WH2,59.99
PROD-6107,T25 Star Drive Bit 2-Pack (Mod-107),Hardware,SUPP-08,3.0,182,45,90,So-WH2,7.5
PROD-6108,3/4in x 4ft x 8ft Oak Plywood (Mod-108),Lumber,SUPP-11,55.0,159,44,88,So-WH2,84.0
