line_item_id,invoice_id,product_id,quantity,unit_price,total_amount
1,INV-50000,PROD-6174,323,4.98,1604.73
2,INV-50001,PROD-6114,2,249.0,351.07
3,INV-50001,PROD-6026,1,49.0,49.0
4,INV-50001,PROD-6232,1,5.98,5.98
5,INV-50001,PROD-6164,1,3.98,3.98
6,INV-50002,PROD-6073,3,2.48,7.44
7,INV-50002,PROD-6098,4,199.0,707.12
8,INV-50002,PROD-6131,3,0.98,2.94
9,INV-50003,PROD-6003,4,139.0,547.78
10,INV-50003,PROD-6138,3,49.98,149.94
11,INV-50003,PROD-6018,3,139.0,417.0
12,INV-50003,PROD-6036,3,119.0,357.0
13,INV-50003,PROD-6035,3,139.0,417.0
14,INV-50004,PROD-6222,96,22.98,2201.5
15,INV-50005,PROD-6172,14,5.98,83.72
16,INV-50005,PROD-6287,14,9.98,139.72
17,INV-50005,PROD-6114,15,249.0,3522.83
18,INV-50006,PROD-6025,38,99.0,3686.85
19,INV-50007,PROD-6069,408,4.98,2028.11
20,INV-50008,PROD-6003,9,139.0,1251.0
21,INV-50008,PROD-6290,11,199.0,2049.88
22,INV-50009,PROD-6096,2,499.0,998.0
23,INV-50009,PROD-6014,3,599.0,1642.16
24,INV-50009,PROD-6275,2,8.98,17.96
25,INV-50009,PROD-6273,2,14.98,29.96
26,INV-50009,PROD-6074,2,5.98,11.96
27,INV-50010,PROD-6290,19,199.0,3779.79
28,INV-50010,PROD-6155,18,14.98,269.64
29,INV-50010,PROD-6187,18,8.98,161.64
30,INV-50011,PROD-6186,165,9.48,1558.74
31,INV-50012,PROD-6268,16,7.98,127.68
32,INV-50012,PROD-6015,18,219.0,3725.3
33,INV-50012,PROD-6084,16,14.98,239.68
34,INV-50013,PROD-6032,7,129.0,903.0
35,INV-50013,PROD-6099,8,149.0,1067.68
36,INV-50013,PROD-6052,7,119.0,833.0
37,INV-50013,PROD-6192,7,18.48,129.36
38,INV-50014,PROD-6071,43,16.98,730.14
39,INV-50014,PROD-6079,44,34.98,1520.62
40,INV-50015,PROD-6291,6,249.0,1340.79
41,INV-50015,PROD-6296,4,119.0,476.0
42,INV-50015,PROD-6206,4,16.98,67.92
43,INV-50015,PROD-6160,4,99.0,396.0
44,INV-50015,PROD-6092,4,39.98,159.92
45,INV-50016,PROD-6178,2,1.98,3.96
46,INV-50016,PROD-6081,2,19.98,39.96
47,INV-50016,PROD-6040,2,34.99,69.98
48,INV-50016,PROD-6023,3,79.0,163.22
49,INV-50017,PROD-6126,157,11.98,1880.86
50,INV-50017,PROD-6171,158,12.98,2040.12
