product_id,product_name,category,supplier_id,unit_cost,current_stock,reorder_level,reorder_quantity,warehouse_location,unit_price
PROD-6000,Craftsman 20V MAX Cordless Drill Kit,Power Tools,SUPP-01,72.76,7,36,72,We-WH1,99.0
PROD-6001,DeWalt 20V MAX Brushless Impact Driver,Power Tools,SUPP-05,92.37,7,35,70,No-WH2,129.0
PROD-6002,Makita 18V LXT Lithium-Ion Cordless Drill,Power Tools,SUPP-08,91.1,1,58,116,So-WH1,119.0
PROD-6003,Milwaukee M18 18V Cordless 1/2 in. Drill Driver,Power Tools,SUPP-11,106.07,53,58,116,No-WH2,139.0
PROD-6004,Ryobi ONE+ 18V Cordless Drill/Driver,Power Tools,SUPP-15,61.95,6,29,58,So-WH2,79.0
PROD-6005,Bosch 12V Max 3/8 in. Drill/Driver Kit,Power Tools,SUPP-03,65.85,19,42,84,So-WH2,89.0
PROD-6006,DeWalt 15 Amp 7-1/4 in. Circular Saw,Power Tools,SUPP-07,114.8,5,15,30,We-WH1,149.0
PROD-6007,Makita 15 Amp 7-1/4 in. Circular Saw,Power Tools,SUPP-08,106.4,22,56,112,No-WH2,139.0
PROD-6008,Milwaukee M18 FUEL 7-1/4 in. Circular Saw,Power Tools,SUPP-11,154.42,49,50,100,Mi-WH1,199.0
PROD-6009,Ryobi 15 Amp 7-1/4 in. Circular Saw,Power Tools,SUPP-15,43.84,18,48,96,No-WH1,59.0
PROD-6010,Craftsman 10 in. 15 Amp Table Saw,Power Tools,SUPP-02,186.3,140,44,88,We-WH1,249.0
PROD-6011,DeWalt 10 in. Jobsite Table Saw,Power Tools,SUPP-05,300.75,73,27,54,Mi-WH2,379.0
PROD-6012,Bosch 10 in. Worksite Table Saw,Power Tools,SUPP-10,332.88,156,33,66,We-WH2,449.0
PROD-6013,Makita 10 in. Dual-Bevel Sliding Compound Miter Saw,Power Tools,SUPP-11,370.6,51,29,58,Mi-WH2,499.0
PROD-6014,DeWalt 12 in. Sliding Compound Miter Saw,Power Tools,SUPP-15,469.32,71,42,84,Mi-WH2,599.0
PROD-6015,Ryobi 10 in. Sliding Compound Miter Saw,Power Tools,SUPP-04,174.12,48,36,72,No-WH1,219.0
PROD-6016,Milwaukee 12 Amp Sawzall Reciprocating Saw,Power Tools,SUPP-07,102.04,115,15,30,We-WH1,129.0
PROD-6017,DeWalt 20V MAX Cordless Reciprocating Saw,Power Tools,SUPP-09,107.52,118,51,102,We-WH1,149.0
PROD-6018,Makita 18V LXT Reciprocating Saw,Power Tools,SUPP-11,107.89,86,29,58,No-WH1,139.0
PROD-6019,Craftsman 20V MAX Reciprocating Saw,Power Tools,SUPP-15,58.58,98,39,78,No-WH2,79.0
PROD-6020,Ryobi ONE+ 18V Orbital Jigsaw,Power Tools,SUPP-03,53.29,106,26,52,Mi-WH1,69.0
PROD-6021,DeWalt 20V MAX XR Cordless Jigsaw,Power Tools,SUPP-06,129.78,148,28,56,So-WH1,179.0
PROD-6022,Bosch 7 Amp Top-Handle Jigsaw,Power Tools,SUPP-08,111.99,94,42,84,Mi-WH2,149.0
PROD-6023,Makita 4-1/2 in. Angle Grinder,Power Tools,SUPP-11,61.35,55,30,60,We-WH1,79.0
PROD-6024,DeWalt 4-1/2 in. 11 Amp Angle Grinder,Power Tools,SUPP-15,67.41,81,57,114,So-WH2,89.0
PROD-6025,Milwaukee 4-1/2 in. Small Angle Grinder,Power Tools,SUPP-01,72.45,108,15,30,So-WH2,99.0
PROD-6026,Ryobi 5 in. Random Orbit Sander,Power Tools,SUPP-07,38.46,83,29,58,No-WH1,49.0
PROD-6027,DeWalt 5 in. Random Orbit Sander,Power Tools,SUPP-10,52.29,112,23,46,Mi-WH2,69.0
PROD-6028,Makita 5 in. Random Orbit Sander,Power Tools,SUPP-11,60.58,121,43,86,So-WH1,79.0
PROD-6029,Craftsman 1/4 Sheet Orbital Sander,Power Tools,SUPP-15,28.02,116,30,60,No-WH1,39.0
PROD-6030,Bosch 2.25 HP Electronic Fixed-Base Router,Power Tools,SUPP-04,156.85,54,46,92,So-WH2,199.0
PROD-6031,DeWalt 1-1/4 HP Max Torque Compact Router,Power Tools,SUPP-06,111.65,122,34,68,So-WH2,149.0
PROD-6032,Makita 1-1/4 HP Compact Router,Power Tools,SUPP-09,98.41,99,58,116,We-WH1,129.0
PROD-6033,Ryobi ONE+ 18V 5.0 Ah Lithium-Ion Battery,Power Tools,SUPP-11,66.02,100,21,42,No-WH2,89.0
PROD-6034,DeWalt 20V MAX 5.0Ah XR Battery,Power Tools,SUPP-15,92.3,100,52,104,No-WH1,129.0
PROD-6035,Milwaukee M18 REDLITHIUM XC5.0 Battery,Power Tools,SUPP-02,103.86,37,32,64,No-WH1,139.0
PROD-6036,Makita 18V LXT Lithium-Ion 5.0Ah Battery,Power Tools,SUPP-05,94.33,90,43,86,So-WH2,119.0
PROD-6037,Craftsman V20 4.0Ah Lithium-Ion Battery,Power Tools,SUPP-08,62.03,53,32,64,Mi-WH2,79.0
PROD-6038,DeWalt 20V MAX Battery Charger,Power Tools,SUPP-11,37.26,158,45,90,No-WH1,49.0
PROD-6039,Milwaukee M18 and M12 Multi-Voltage Charger,Power Tools,SUPP-15,46.77,210,56,112,So-WH2,59.0
PROD-6040,DeWalt 100-Piece Screwdriver Bit Set,Power Tools,SUPP-01,27.56,145,36,72,Mi-WH1,34.99
PROD-6041,Makita 75-Piece Metric Drill and Screw Bit Set,Power Tools,SUPP-06,22.82,97,34,68,No-WH2,29.99
PROD-6042,Milwaukee 40-Piece Shockwave Drill/Drive Set,Power Tools,SUPP-08,19.14,117,40,80,We-WH2,24.99
PROD-6043,Ryobi 120-Piece Drill and Drive Kit,Power Tools,SUPP-11,15.24,72,18,36,Mi-WH2,19.99
PROD-6044,Craftsman 50-Piece Drill Bit Set,Power Tools,SUPP-15,11.35,141,52,104,Mi-WH2,14.99
PROD-6045,Diablo 7-1/4 in. 24-Teeth Framing Saw Blade,Power Tools,SUPP-03,9.85,151,37,74,We-WH2,12.98
PROD-6046,DeWalt 10 in. 60-Tooth Fine Finish Saw Blade,Power Tools,SUPP-05,30.84,105,21,42,So-WH1,39.98
PROD-6047,Makita 12 in. 80-Tooth Micro-Polished Saw Blade,Power Tools,SUPP-10,43.1,158,38,76,So-WH2,54.98
PROD-6048,Lenox 14-Piece Bi-Metal Hole Saw Kit,Power Tools,SUPP-11,50.42,131,18,36,Mi-WH1,69.0
PROD-6049,Milwaukee 9-Piece Hole Dozer Hole Saw Kit,Power Tools,SUPP-15,43.22,117,51,102,We-WH1,59.0
PROD-6050,DeWalt 5-Piece Reciprocating Saw Blade Set,Power Tools,SUPP-02,11.51,176,38,76,So-WH2,15.99
PROD-6051,Diablo 3-Piece Carbide Pruning Reciprocating Blades,Power Tools,SUPP-07,17.23,184,56,112,We-WH2,22.99
PROD-6052,Dremel 4300 Series Rotary Tool Kit,Power Tools,SUPP-09,90.04,88,20,40,So-WH1,119.0
PROD-6053,Ryobi 18V ONE+ Rotary Tool Station,Power Tools,SUPP-11,59.67,73,31,62,We-WH2,79.0
PROD-6054,DeWalt 20V MAX Oscillating Multi-Tool,Power Tools,SUPP-15,94.65,129,26,52,So-WH1,129.0
PROD-6055,Milwaukee M18 FUEL Oscillating Multi-Tool,Power Tools,SUPP-04,106.67,103,27,54,No-WH1,149.0
PROD-6056,Makita 18V LXT Oscillating Multi-Tool,Power Tools,SUPP-05,90.2,28,21,42,So-WH2,119.0
PROD-6057,Craftsman 3 Gallon Air Compressor,Power Tools,SUPP-08,94.92,124,55,110,No-WH2,129.0
PROD-6058,DeWalt 6 Gallon Pancake Air Compressor,Power Tools,SUPP-11,122.6,74,58,116,No-WH2,169.0
PROD-6059,Porter-Cable 6 Gallon Air Compressor Kit,Power Tools,SUPP-15,145.57,151,32,64,Mi-WH1,199.0
PROD-6060,Scotts Turf Builder Weed & Feed 14 lb.,Garden & Outdoors,SUPP-03,18.53,136,21,42,No-WH2,24.98
PROD-6061,Scotts Turf Builder Lawn Food 12.5 lb.,Garden & Outdoors,SUPP-07,17.05,189,48,96,So-WH2,21.98
PROD-6062,Miracle-Gro All Purpose Plant Food 5 lb.,Garden & Outdoors,SUPP-10,11.67,69,28,56,No-WH1,14.98
PROD-6063,Vigoro All-Purpose Fertilizer 16 lb.,Garden & Outdoors,SUPP-11,15.14,95,48,96,We-WH2,18.98
